"experiment_name","assay_plate_number","assay_well","assay_time_hours","od600","assay_strain","stock_b12_conc","stock_met_conc","stock_volume_added","assay_volume_added","bio_replicate","tech_replicate","bacteria_strain_id","sample_treatment","assay_type","b12_conc_ngl","met_conc_mgl","assay_dilution","adjusted_b12_conc_ngl","log_b12_pgl","fluorescence","log_fluorescence"
"b12_assay_4","1","A6",23,0.879,"metE",3200,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",96,0.037,0.03,96,11.47210347045,NA,NA
"b12_assay_4","1","A7",23,0.447,"metE",1280,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",128,0.037,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","1","A8",23,0.371,"metE",1280,0,3,97,1,1,"blank","filter_then_boil","E. coli OD600",38.4,0.037,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","1","A9",23,0.608,"metE",512,0,10,90,1,1,"blank","filter_then_boil","E. coli OD600",51.2,0.037,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","1","B1",23,0.779,"metE",20000,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",2000,0.037,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","1","B10",23,0.108,"metE",512,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",15.36,0.037,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","1","B11",23,0.138,"metE",204.8,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",20.48,0.037,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","1","B12",23,0.082,"metE",204.8,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",6.144,0.037,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","1","B13",23,0.093,"metE",81.92,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",8.192,0.037,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","1","B14",23,0.051,"metE",81.92,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",2.4576,0.037,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","1","B15",23,0.057,"metE",32.768,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",3.2768,0.037,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","1","B16",23,0.038,"metE",32.768,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",0.98304,0.037,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","1","B17",23,0.042,"metE",13.1072,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",1.31072,0.037,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","1","B18",23,0.039,"metE",13.1072,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",0.393216,0.037,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","1","B19",23,0.043,"metE",5.24288,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",0.524288,0.037,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","1","B2",23,0.706,"metE",20000,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",600,0.037,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","1","B20",23,0.036,"metE",5.24288,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",0.1572864,0.037,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","1","B21",23,0.036,"metE",2.097152,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",0.2097152,0.037,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","1","B22",23,0.036,"metE",2.097152,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",0.06291456,0.037,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","1","B23",23,0.037,"metE",0,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",0,0.037,0.1,0,-Inf,NA,NA
"b12_assay_4","1","B24",23,0.033,"metE",0,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",0,0.037,0.03,0,-Inf,NA,NA
"b12_assay_4","1","B3",23,0.752,"metE",8000,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",800,0.037,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","1","B4",23,0.683,"metE",8000,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",240,0.037,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","1","B5",23,0.722,"metE",3200,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",320,0.037,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","1","B6",23,0.509,"metE",3200,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",96,0.037,0.03,96,11.47210347045,NA,NA
"b12_assay_4","1","B7",23,0.579,"metE",1280,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",128,0.037,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","1","B8",23,0.565,"metE",1280,0,3,97,1,1,"HTWP4","filter_then_boil","E. coli OD600",38.4,0.037,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","1","B9",23,0.378,"metE",512,0,10,90,1,1,"HTWP4","filter_then_boil","E. coli OD600",51.2,0.037,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","1","C1",23,0.707,"metE",20000,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",2000,0.037,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","1","C10",23,0.112,"metE",512,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",15.36,0.037,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","1","C11",23,0.197,"metE",204.8,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",20.48,0.037,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","1","C12",23,0.065,"metE",204.8,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",6.144,0.037,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","1","C13",23,0.119,"metE",81.92,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",8.192,0.037,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","1","C14",23,0.043,"metE",81.92,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",2.4576,0.037,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","1","C15",23,0.049,"metE",32.768,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",3.2768,0.037,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","1","C16",23,0.035,"metE",32.768,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",0.98304,0.037,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","1","C17",23,0.036,"metE",13.1072,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",1.31072,0.037,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","1","C18",23,0.034,"metE",13.1072,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",0.393216,0.037,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","1","C19",23,0.036,"metE",5.24288,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",0.524288,0.037,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","1","C2",23,0.81,"metE",20000,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",600,0.037,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","1","C20",23,0.035,"metE",5.24288,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",0.1572864,0.037,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","1","C21",23,0.037,"metE",2.097152,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",0.2097152,0.037,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","1","C22",23,0.035,"metE",2.097152,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",0.06291456,0.037,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","1","C23",23,0.036,"metE",0,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",0,0.037,0.1,0,-Inf,NA,NA
"b12_assay_4","1","C24",23,0.037,"metE",0,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",0,0.037,0.03,0,-Inf,NA,NA
"b12_assay_4","1","C3",23,0.661,"metE",8000,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",800,0.037,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","1","C4",23,0.772,"metE",8000,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",240,0.037,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","1","C5",23,0.75,"metE",3200,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",320,0.037,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","1","C6",23,0.569,"metE",3200,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",96,0.037,0.03,96,11.47210347045,NA,NA
"b12_assay_4","1","C7",23,0.773,"metE",1280,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",128,0.037,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","1","C8",23,0.513,"metE",1280,0,3,97,1,1,"JW50603","filter_then_boil","E. coli OD600",38.4,0.037,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","1","C9",23,0.54,"metE",512,0,10,90,1,1,"JW50603","filter_then_boil","E. coli OD600",51.2,0.037,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","1","D1",23,0.747,"metE",20000,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",2000,0.037,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","1","D10",23,0.118,"metE",512,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",15.36,0.037,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","1","D11",23,0.201,"metE",204.8,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",20.48,0.037,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","1","D12",23,0.062,"metE",204.8,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",6.144,0.037,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","1","D13",23,0.077,"metE",81.92,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",8.192,0.037,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","1","D14",23,0.051,"metE",81.92,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",2.4576,0.037,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","1","D15",23,0.055,"metE",32.768,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",3.2768,0.037,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","1","D16",23,0.04,"metE",32.768,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",0.98304,0.037,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","1","D17",23,0.041,"metE",13.1072,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",1.31072,0.037,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","1","D18",23,0.036,"metE",13.1072,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",0.393216,0.037,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","1","D19",23,0.039,"metE",5.24288,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",0.524288,0.037,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","1","D2",23,0.778,"metE",20000,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",600,0.037,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","1","D20",23,0.034,"metE",5.24288,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",0.1572864,0.037,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","1","D21",23,0.036,"metE",2.097152,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",0.2097152,0.037,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","1","D22",23,0.036,"metE",2.097152,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",0.06291456,0.037,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","1","D23",23,0.035,"metE",0,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",0,0.037,0.1,0,-Inf,NA,NA
"b12_assay_4","1","D24",23,0.044,"metE",0,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",0,0.037,0.03,0,-Inf,NA,NA
"b12_assay_4","1","D3",23,0.71,"metE",8000,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",800,0.037,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","1","D4",23,0.519,"metE",8000,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",240,0.037,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","1","D5",23,0.739,"metE",3200,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",320,0.037,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","1","D6",23,0.506,"metE",3200,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",96,0.037,0.03,96,11.47210347045,NA,NA
"b12_assay_4","1","D7",23,0.716,"metE",1280,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",128,0.037,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","1","D8",23,0.588,"metE",1280,0,3,97,1,1,"OTU4908","filter_then_boil","E. coli OD600",38.4,0.037,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","1","D9",23,0.334,"metE",512,0,10,90,1,1,"OTU4908","filter_then_boil","E. coli OD600",51.2,0.037,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","1","E1",23,0.644,"metE",20000,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",2000,0.037,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","1","E10",23,0.091,"metE",512,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",15.36,0.037,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","1","E11",23,0.489,"metE",204.8,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",20.48,0.037,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","1","E12",23,0.059,"metE",204.8,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",6.144,0.037,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","1","E13",23,0.077,"metE",81.92,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",8.192,0.037,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","1","E14",23,0.043,"metE",81.92,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",2.4576,0.037,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","1","E15",23,0.061,"metE",32.768,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",3.2768,0.037,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","1","E16",23,0.041,"metE",32.768,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",0.98304,0.037,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","1","E17",23,0.048,"metE",13.1072,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",1.31072,0.037,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","1","E18",23,0.038,"metE",13.1072,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",0.393216,0.037,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","1","E19",23,0.042,"metE",5.24288,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",0.524288,0.037,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","1","E2",23,0.778,"metE",20000,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",600,0.037,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","1","E20",23,0.035,"metE",5.24288,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",0.1572864,0.037,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","1","E21",23,0.041,"metE",2.097152,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",0.2097152,0.037,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","1","E22",23,0.036,"metE",2.097152,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",0.06291456,0.037,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","1","E23",23,0.04,"metE",0,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",0,0.037,0.1,0,-Inf,NA,NA
"b12_assay_4","1","E24",23,0.036,"metE",0,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",0,0.037,0.03,0,-Inf,NA,NA
"b12_assay_4","1","E3",23,0.733,"metE",8000,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",800,0.037,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","1","E4",23,0.719,"metE",8000,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",240,0.037,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","1","E5",23,0.775,"metE",3200,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",320,0.037,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","1","E6",23,0.556,"metE",3200,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",96,0.037,0.03,96,11.47210347045,NA,NA
"b12_assay_4","1","E7",23,0.418,"metE",1280,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",128,0.037,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","1","E8",23,0.475,"metE",1280,0,3,97,1,1,"blank","boil_then_filter","E. coli OD600",38.4,0.037,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","1","E9",23,0.354,"metE",512,0,10,90,1,1,"blank","boil_then_filter","E. coli OD600",51.2,0.037,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","1","F1",23,0.659,"metE",20000,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",2000,0.037,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","1","F10",23,0.11,"metE",512,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",15.36,0.037,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","1","F11",23,0.485,"metE",204.8,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",20.48,0.037,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","1","F12",23,0.058,"metE",204.8,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",6.144,0.037,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","1","F13",23,0.164,"metE",81.92,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",8.192,0.037,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","1","F14",23,0.049,"metE",81.92,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",2.4576,0.037,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","1","F15",23,0.057,"metE",32.768,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",3.2768,0.037,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","1","F16",23,0.042,"metE",32.768,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",0.98304,0.037,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","1","F17",23,0.045,"metE",13.1072,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",1.31072,0.037,0.1,1.31072,7.17833188353098,NA,NA
"b12_assay_4","1","F18",23,0.037,"metE",13.1072,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",0.393216,0.037,0.03,0.393216,5.97435907920504,NA,NA
"b12_assay_4","1","F19",23,0.038,"metE",5.24288,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",0.524288,0.037,0.1,0.524288,6.26204115165682,NA,NA
"b12_assay_4","1","F2",23,0.699,"metE",20000,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",600,0.037,0.03,600,13.3046849341983,NA,NA
"b12_assay_4","1","F20",23,0.04,"metE",5.24288,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",0.1572864,0.037,0.03,0.1572864,5.05806834733089,NA,NA
"b12_assay_4","1","F21",23,0.039,"metE",2.097152,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",0.2097152,0.037,0.1,0.2097152,5.34575041978267,NA,NA
"b12_assay_4","1","F22",23,0.034,"metE",2.097152,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",0.06291456,0.037,0.03,0.06291456,4.14177761545673,NA,NA
"b12_assay_4","1","F23",23,0.037,"metE",0,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",0,0.037,0.1,0,-Inf,NA,NA
"b12_assay_4","1","F24",23,0.034,"metE",0,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",0,0.037,0.03,0,-Inf,NA,NA
"b12_assay_4","1","F3",23,0.797,"metE",8000,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",800,0.037,0.1,800,13.5923670066501,NA,NA
"b12_assay_4","1","F4",23,0.67,"metE",8000,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",240,0.037,0.03,240,12.3883942023241,NA,NA
"b12_assay_4","1","F5",23,0.76,"metE",3200,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",320,0.037,0.1,320,12.6760762747759,NA,NA
"b12_assay_4","1","F6",23,0.597,"metE",3200,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",96,0.037,0.03,96,11.47210347045,NA,NA
"b12_assay_4","1","F7",23,0.58,"metE",1280,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",128,0.037,0.1,128,11.7597855429018,NA,NA
"b12_assay_4","1","F8",23,0.647,"metE",1280,0,3,97,1,1,"HTWP4","boil_then_filter","E. coli OD600",38.4,0.037,0.03,38.4,10.5558127385758,NA,NA
"b12_assay_4","1","F9",23,0.563,"metE",512,0,10,90,1,1,"HTWP4","boil_then_filter","E. coli OD600",51.2,0.037,0.1,51.2,10.8434948110276,NA,NA
"b12_assay_4","1","G1",23,0.769,"metE",20000,0,10,90,1,1,"JW50603","boil_then_filter","E. coli OD600",2000,0.037,0.1,2000,14.5086577385242,NA,NA
"b12_assay_4","1","G10",23,0.095,"metE",512,0,3,97,1,1,"JW50603","boil_then_filter","E. coli OD600",15.36,0.037,0.03,15.36,9.63952200670166,NA,NA
"b12_assay_4","1","G11",23,0.121,"metE",204.8,0,10,90,1,1,"JW50603","boil_then_filter","E. coli OD600",20.48,0.037,0.1,20.48,9.92720407915344,NA,NA
"b12_assay_4","1","G12",23,0.06,"metE",204.8,0,3,97,1,1,"JW50603","boil_then_filter","E. coli OD600",6.144,0.037,0.03,6.144,8.72323127482751,NA,NA
"b12_assay_4","1","G13",23,0.052,"metE",81.92,0,10,90,1,1,"JW50603","boil_then_filter","E. coli OD600",8.192,0.037,0.1,8.192,9.01091334727929,NA,NA
"b12_assay_4","1","G14",23,0.045,"metE",81.92,0,3,97,1,1,"JW50603","boil_then_filter","E. coli OD600",2.4576,0.037,0.03,2.4576,7.80694054295335,NA,NA
"b12_assay_4","1","G15",23,0.047,"metE",32.768,0,10,90,1,1,"JW50603","boil_then_filter","E. coli OD600",3.2768,0.037,0.1,3.2768,8.09462261540513,NA,NA
"b12_assay_4","1","G16",23,0.037,"metE",32.768,0,3,97,1,1,"JW50603","boil_then_filter","E. coli OD600",0.98304,0.037,0.03,0.98304,6.8906498110792,NA,NA
"b12_assay_4","1","G17",23,0.047,"metE",13.1072,0,10,90,1,1,"JW50603","boil_then_filter","E. coli OD600",1.31072,0.037,0.1,1.31072,7.17833188353098,NA,NA
